card_last4,transaction_date,posting_date,description,amount,type,installment_info
1234,2026-03-01,2026-03-02,GRAB*TRANSPORT A-92V8WLF,45000,debit,
1234,2026-03-01,2026-03-02,PAYMENT THANK YOU,500000,credit,
5678,2026-03-03,2026-03-04,Retail IDN JAKARTA PUSAT Superindo,285000,debit,
5678,2026-03-05,2026-03-06,STARBUCKS COFFEE SCBD,78000,debit,
9012,2026-03-07,2026-03-08,NETFLIX.COM,199000,debit,
9012,2026-03-08,2026-03-09,Retail IDN JAKARTA SELATAN Tokopedia,890000,debit,5/12
1234,2026-03-10,2026-03-11,PLN PREPAID TOKEN LISTRIK,350000,debit,
5678,2026-03-12,2026-03-13,APOTEK KIMIA FARMA 0128,125000,debit,
1234,2026-03-14,2026-03-15,RM PADANG SEDERHANA,35000,debit,
9012,2026-03-16,2026-03-17,GRAB*FOOD F-8XK2M,67000,debit,
5678,2026-03-18,2026-03-19,SPOTIFY PREMIUM,59000,debit,
1234,2026-03-20,2026-03-21,SHELL SPBU 34.401,380000,debit,
9012,2026-03-22,2026-03-23,Retail IDN BANDUNG Shopee,450000,debit,
5678,2026-03-25,2026-03-26,INDIHOME FIBER,499000,debit,
1234,2026-03-27,2026-03-28,INDOMARET CIKINI,42000,debit,
